make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Blue,Kombi,Zuzwil,Allrad,10,2008,79700.0,Km,car,"",null,null,null,null,null
Mercedes,E 320,MERCEDES-BENZ E 320 Avantgarde,Blue,Kombi,Zuzwil,Hinterradantrieb,5,2001,83000.0,Km,car,"",null,null,null,null,null
Mercedes,"",MERCEDES-BENZ CLK DTM AMG,Blue,Cabriolet,Zuzwil,Hinterradantrieb,2,2008,32500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Blue,Coupé,Zuzwil,Allrad,3,2009,33000.0,Km,car,"",null,null,null,null,null
BMW,X5,BMW X5 4.6is,Other,SUV / Geländewagen,Zuzwil,Allrad,11,2002,26500.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Blue,Cabriolet,Zuzwil,Hinterradantrieb,4,2004,14500.0,Km,car,"",null,null,null,null,null
Bentley,BROOKLANDS,BENTLEY Brooklands,Blue,Limousine,Zuzwil,Hinterradantrieb,3,1995,39100.0,Km,car,"",null,null,null,null,null
Mercedes,C 320,MERCEDES-BENZ C 320 Elégance,Blue,Limousine,Zuzwil,Hinterradantrieb,5,2002,145100.0,Km,car,"",null,null,null,null,null
Alpina,5 SERIES,BMW-ALPINA 5 SERIES B7 TURBO,Blue,Limousine,Zuzwil,null,5,1986,199300.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Modena Berlinetta,Blue,Coupé,Porrentruy,Hinterradantrieb,11,2003,42500.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Blue,Kombi,Zuzwil,Allrad,7,2008,114200.0,Km,car,"",null,null,null,null,null
BMW,728,BMW 728i,Blue,Limousine,Zuzwil,Hinterradantrieb,5,1998,26200.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Blue,Kombi,Zuzwil,Allrad,5,2003,64500.0,Km,car,"",null,null,null,null,null
Mercedes,E 63 AMG,MERCEDES-BENZ E 63 AMG S 4Matic,Blue,Limousine,Zuzwil,Allrad,7,2013,23900.0,Km,car,"",null,null,null,null,null
Lamborghini,MURCIÉLAGO,LAMBORGHINI Murciélago LP640-4 Cpé,Blue,Coupé,Zuzwil,Allrad,7,2007,38000.0,Km,car,"",null,null,null,null,null
Porsche,924,PORSCHE 924 Turbo,Other,Coupé,Zuzwil,Hinterradantrieb,3,1980,54000.0,Km,car,"",null,null,null,null,null
MG,"",MG Roadster,Blue,Coupé,Zuzwil,Hinterradantrieb,1,1957,37000.0,Km,car,"",null,null,null,null,null
Mercedes,S 55 AMG,MERCEDES-BENZ S 55 AMG,Blue,Limousine,Zuzwil,Hinterradantrieb,2,1999,96500.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Blue,Cabriolet,Zuzwil,Hinterradantrieb,10,2003,49900.0,Km,car,"",null,null,null,null,null
Mercedes,E 240,MERCEDES-BENZ E 240 Avantgarde,Blue,Limousine,Zuzwil,Hinterradantrieb,3,2003,106000.0,Km,car,"",null,null,null,null,null
BMW,Z1,BMW Z1,Blue,Cabriolet,Zuzwil,Hinterradantrieb,2,1990,27700.0,Km,car,"",null,null,null,null,null
Honda,LEGEND,HONDA Legend V6 3.5i,Blue,Limousine,Zuzwil,Vorderradantrieb,3,2001,111500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Blue,Coupé,Zuzwil,Allrad,3,2002,132600.0,Km,car,"",null,null,null,null,null
Mercedes,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,Blue,Limousine,Zuzwil,Hinterradantrieb,5,2011,31400.0,Km,car,"",null,null,null,null,null
Mercedes,SL 320,MERCEDES-BENZ SL 320,Blue,Cabriolet,Zuzwil,Hinterradantrieb,4,2000,25100.0,Km,car,"",null,null,null,null,null
BMW,750,BMW 750i,Blue,Limousine,Zuzwil,Hinterradantrieb,7,1995,119600.0,Km,car,"",null,null,null,null,null
Audi,Cabriolet,AUDI Cabriolet 2.8 E,Other,Cabriolet,Zuzwil,Vorderradantrieb,7,1996,120200.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Blue,Kombi,Zuzwil,Allrad,10,2008,49800.0,Km,car,"",null,null,null,null,null
Mercedes,C 230,MERCEDES-BENZ C 230 Elégance,Blue,Limousine,Zuzwil,Hinterradantrieb,2,1997,123400.0,Km,car,"",null,null,null,null,null
Lamborghini,GALLARDO,LAMBORGHINI Gallardo LP570-4 Coupé SL,Blue,Coupé,Zuzwil,Allrad,3,2011,18000.0,Km,car,"",null,null,null,null,null
Mercedes,S 65 AMG,MERCEDES-BENZ S 65 AMG L,Blue,Limousine,Zuzwil,Hinterradantrieb,8,2006,68800.0,Km,car,"",null,null,null,null,null
Renault,Alpine A110,RENAULT Alpine A110 A5 Motor,Blue,Coupé,Zuzwil,Hinterradantrieb,5,1977,39267.0,Km,car,"",null,null,null,null,null
Mercedes,190,MERCEDES-BENZ 190 E 2.5-16 ABS,Blue,Limousine,Zuzwil,Hinterradantrieb,10,1990,162000.0,Km,car,"",null,null,null,null,null
BMW,2002,BMW 2002 Turbo,Blue,Limousine,Zuzwil,Hinterradantrieb,1,1974,7990.0,Km,car,"",null,null,null,null,null
Ford,MUSTANG,FORD (USA) Mustang 5.0 GT Premium 50 Years,Blue,Coupé,Zuzwil,Hinterradantrieb,4,2015,4300.0,Km,car,"",null,null,null,null,null
Lamborghini,GALLARDO,LAMBORGHINI Gallardo LP550-2 Cpé V.B.,Blue,Coupé,Zuzwil,Hinterradantrieb,9,2009,7300.0,Km,car,"",null,null,null,null,null
Ferrari,F430,FERRARI F430 Spider,Blue,Cabriolet,Porrentruy,Hinterradantrieb,6,2007,53500.0,Km,car,"",null,null,null,null,null
Land Rover,RANGE ROVER,LAND ROVER Range Rover 3.6 d HSE,Other,SUV / Geländewagen,Zuzwil,Allrad,2,2007,99900.0,Km,car,"",null,null,null,null,null
Mercedes,CL 500,MERCEDES-BENZ CL 500,Blue,Coupé,Zuzwil,Hinterradantrieb,12,2001,116100.0,Km,car,"",null,null,null,null,null
Maserati,QUATTROPORTE,MASERATI Quattroporte 4.7 S,Blue,Limousine,Zuzwil,Hinterradantrieb,2,2009,96000.0,Km,car,"",null,null,null,null,null
BMW,530,BMW 530d Touring,Blue,Kombi,Zuzwil,Hinterradantrieb,11,2004,108500.0,Km,car,"",null,null,null,null,null
VW,EOS,VW Eos 2.0 FSI T,Blue,Cabriolet,Zuzwil,Vorderradantrieb,9,2007,27000.0,Km,car,"",null,null,null,null,null
Audi,A6,AUDI A6 4.2 V8 quattro,Blue,Limousine,Zuzwil,Allrad,3,2004,62000.0,Km,car,"",null,null,null,null,null
Mercedes,E 55 AMG,MERCEDES-BENZ E 55 AMG Avantgarde,Blue,Limousine,Zuzwil,Hinterradantrieb,2,1998,86900.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera Cabrio,Blue,Cabriolet,Zuzwil,Hinterradantrieb,1,1999,34400.0,Km,car,"",null,null,null,null,null
BMW,X3,BMW X3 3.0i,Blue,SUV / Geländewagen,Zuzwil,Allrad,10,2004,86200.0,Km,car,"",null,null,null,null,null
Alpina,6 SERIES,BMW-ALPINA B6 4.4 V8 Cabrio,Blue,Cabriolet,Zuzwil,Hinterradantrieb,4,2007,66800.0,Km,car,"",null,null,null,null,null
BMW,540,BMW 540i,Blue,Limousine,Zuzwil,Hinterradantrieb,11,1998,78700.0,Km,car,"",null,null,null,null,null
Mercedes,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,Other,Cabriolet,Zuzwil,Hinterradantrieb,6,2002,16500.0,Km,car,"",null,null,null,null,null
Porsche,BOXSTER,PORSCHE Boxster S 3.2,Blue,Cabriolet,Zuzwil,Hinterradantrieb,4,2000,43400.0,Km,car,"",null,null,null,null,null
Ferrari,458,FERRARI 458 Italia 4.5 V8 Speciale,Blue,Coupé,Zuzwil,Hinterradantrieb,1,2015,200.0,Km,car,"",null,null,null,null,null
Mercedes,E 420,MERCEDES-BENZ E 420 Elégance,Blue,Limousine,Zuzwil,Hinterradantrieb,6,1996,26800.0,Km,car,"",null,null,null,null,null
Mercedes,ML 63 AMG,MERCEDES-BENZ ML 63 AMG 4Matic,Blue,SUV / Geländewagen,Zuzwil,Allrad,1,2013,25100.0,Km,car,"",null,null,null,null,null
Mercedes,E 55 AMG,MERCEDES-BENZ E 55 AMG Avantgarde,Blue,Limousine,Zuzwil,Hinterradantrieb,10,1998,35000.0,Km,car,"",null,null,null,null,null
Mercedes,S 600,MERCEDES-BENZ S 600,Blue,Coupé,Zuzwil,Hinterradantrieb,8,1993,111000.0,Km,car,"",null,null,null,null,null
Mercedes,SLK 230,MERCEDES-BENZ SLK 230 Kompressor,Blue,Cabriolet,Zuzwil,Hinterradantrieb,7,1998,166550.0,Km,car,"",null,null,null,null,null
Lotus,ESPRIT,LOTUS Esprit 3.5 V8 SE,Blue,Coupé,Zuzwil,Hinterradantrieb,7,2002,36700.0,Km,car,"",null,null,null,null,null
Subaru,IMPREZA,SUBARU Impreza 2.5T WRX,Blue,Limousine,Zuzwil,Allrad,4,2006,161500.0,Km,car,"",null,null,null,null,null
Aston Martin,DB7,ASTON MARTIN DB7,Blue,Coupé,Zuzwil,Hinterradantrieb,4,1998,97200.0,Km,car,"",null,null,null,null,null
Land Rover,RANGE ROVER,LAND ROVER Range Rover 4.4TD Vogue,Other,SUV / Geländewagen,Zuzwil,Allrad,1,2012,63200.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500,Blue,Limousine,Zuzwil,Hinterradantrieb,6,2006,48000.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT Alpine A310 V6,Blue,Coupé,Zuzwil,Hinterradantrieb,5,1981,68900.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Blue,Kombi,Zuzwil,Allrad,7,2002,47600.0,Km,car,"",null,null,null,null,null
Maserati,QUATTROPORTE,MASERATI Quattroporte 4.2,Blue,Limousine,Zuzwil,Hinterradantrieb,6,2004,62700.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT ALPINE A310 1600 VG,Blue,Limousine,Zuzwil,Hinterradantrieb,6,1976,59800.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Blue,Kombi,Zuzwil,Allrad,8,2002,39300.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Modena Berlinetta,Blue,Coupé,Zuzwil,Hinterradantrieb,3,2005,8000.0,Km,car,"",null,null,null,null,null
Mercedes,CL 500,MERCEDES-BENZ CL 500,Blue,Coupé,Zuzwil,Hinterradantrieb,9,2000,75100.0,Km,car,"",null,null,null,null,null
Ferrari,575M,FERRARI 575M,Blue,Coupé,Zuzwil,Hinterradantrieb,7,2002,51200.0,Km,car,"",null,null,null,null,null
Volvo,C70,VOLVO C70 T5,Blue,Coupé,Zuzwil,Vorderradantrieb,2,2001,27900.0,Km,car,"",null,null,null,null,null
Mercedes,C 63 AMG,MERCEDES-BENZ C 63 AMG BLACK SERIES (Coupé),Other,Coupé,Zuzwil,Hinterradantrieb,8,2012,12100.0,Km,car,"",null,null,null,null,null
Land Rover,RANGE ROVER,LAND ROVER Range Rover 4.6 HSE,Blue,SUV / Geländewagen,Zuzwil,Allrad,5,1998,49700.0,Km,car,"",null,null,null,null,null
Toyota,CELICA,TOYOTA CELICA 1600 GT,Blue,Coupé,Zuzwil,Hinterradantrieb,8,1971,53100.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Modena Berlinetta,Blue,Coupé,Zuzwil,Hinterradantrieb,8,1999,20700.0,Km,car,"",null,null,null,null,null
Alpina,7 SERIES,BMW-ALPINA 7 SERIES B7 Turbo Coupé,Blue,Coupé,Zuzwil,null,4,1984,150200.0,Km,car,"",null,null,null,null,null
Mercedes,SLR,MERCEDES-BENZ SLR McLaren Roadster,Blue,Cabriolet,Zuzwil,Hinterradantrieb,6,2008,2400.0,Km,car,"",null,null,null,null,null
Porsche,924,PORSCHE 924,Blue,Coupé,Zuzwil,Hinterradantrieb,5,1985,47000.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8  6.0 quattro,Blue,Limousine,Zuzwil,Allrad,7,2004,49000.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Blue,Kombi,Zuzwil,Allrad,7,2008,46000.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT Alpine A310 V6,Blue,Coupé,Zuzwil,Hinterradantrieb,6,1978,77300.0,Km,car,"",null,null,null,null,null
BMW,M3,BMW M3,Blue,Cabriolet,Zuzwil,Hinterradantrieb,3,2002,142000.0,Km,car,"",null,null,null,null,null
Alpina,3 SERIES,BMW-ALPINA 3 SERIES B8,Other,Limousine,Zuzwil,Hinterradantrieb,1,1999,146500.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Blue,Cabriolet,Zuzwil,Hinterradantrieb,5,2003,32500.0,Km,car,"",null,null,null,null,null
Audi,RS4,AUDI RS4 Avant quattro,Blue,Kombi,Zuzwil,Allrad,2,2001,37800.0,Km,car,"",null,null,null,null,null
Mercedes,CLK 55 AMG,MERCEDES-BENZ CLK 55 AMG Avantgarde,Blue,Coupé,Zuzwil,Hinterradantrieb,6,2002,52500.0,Km,car,"",null,null,null,null,null
Mercedes,SLK 230,MERCEDES-BENZ SLK 230 Kompressor,Blue,Cabriolet,Zuzwil,Hinterradantrieb,8,2002,30500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 4S,Blue,Coupé,Zuzwil,Allrad,3,1996,139900.0,Km,car,"",null,null,null,null,null
Mitsubishi,LANCER,MITSUBISHI Lancer Evo VII,Other,Limousine,Zuzwil,Allrad,7,2003,35200.0,Km,car,"",null,null,null,null,null
Mercedes,S 320,MERCEDES-BENZ S 320,Other,Limousine,Zuzwil,Hinterradantrieb,6,2000,14100.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Other,Cabriolet,Zuzwil,Hinterradantrieb,4,2004,23000.0,Km,car,"",null,null,null,null,null
Mercedes,"",MERCEDES-BENZ 170V B Cabrio 136,Other,Coupé,Zuzwil,Hinterradantrieb,7,1939,1.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500,Other,Limousine,Zuzwil,Hinterradantrieb,11,2005,128000.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Other,Kombi,Zuzwil,Allrad,7,2008,25400.0,Km,car,"",null,null,null,null,null
Mercedes,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,Other,Cabriolet,Zuzwil,Hinterradantrieb,3,2006,47000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo S Cabrio,Other,Cabriolet,Zuzwil,Allrad,5,2014,450.0,Km,car,"",null,null,null,null,null
Mercedes,SL 300,MERCEDES-BENZ SL 300,Other,Cabriolet,Zuzwil,Hinterradantrieb,6,1993,63600.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500,Other,Limousine,Zuzwil,Hinterradantrieb,5,2000,99900.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,Other,Limousine,Zuzwil,Allrad,4,2004,60000.0,Km,car,"",null,null,null,null,null
Fiat,"",FIAT 850 Spider,Other,Coupé,Zuzwil,Hinterradantrieb,8,1970,9999.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Modena Berlinetta,Other,Coupé,Zuzwil,Hinterradantrieb,8,1999,30300.0,Km,car,"",null,null,null,null,null
Bentley,"",BENTLEY T 2,Other,Limousine,Zuzwil,Hinterradantrieb,2,1979,175100.0,Km,car,"",null,null,null,null,null
Mercedes,E 55 AMG,MERCEDES-BENZ E 55 AMG Avantgarde,Other,Limousine,Zuzwil,Hinterradantrieb,10,1997,67400.0,Km,car,"",null,null,null,null,null
BMW,M3,BMW M3,Other,Cabriolet,Zuzwil,Hinterradantrieb,3,2001,46000.0,Km,car,"",null,null,null,null,null
Audi,A6,AUDI A6 Avant 2.7 T q.Ambiente,Other,Kombi,Zuzwil,Allrad,9,1999,171700.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Other,Kombi,Zuzwil,Allrad,7,2003,27900.0,Km,car,"",null,null,null,null,null
Ferrari,F430,FERRARI F430,Other,Coupé,Zuzwil,Hinterradantrieb,6,2005,29300.0,Km,car,"",null,null,null,null,null
Maserati,QUATTROPORTE,MASERATI Quattroporte 4.2 Sport GT,Brown,Limousine,Zuzwil,Hinterradantrieb,4,2008,80000.0,Km,car,"",null,null,null,null,null
BMW,Z4,BMW Z4 2.5i Roadster,Brown,Cabriolet,Zuzwil,Hinterradantrieb,9,2008,22800.0,Km,car,"",null,null,null,null,null
BMW,328,BMW 328i,Brown,Limousine,Zuzwil,Hinterradantrieb,4,1998,33700.0,Km,car,"",null,null,null,null,null
Bentley,CONTINENTAL,BENTLEY Continental FlyingSpur6.0,Yellow,Limousine,Zuzwil,Allrad,3,2006,35000.0,Km,car,"",null,null,null,null,null
Morgan,4/4,MORGAN 4/4 1.8,Yellow,Cabriolet,Zuzwil,Hinterradantrieb,6,2006,7100.0,Km,car,"",null,null,null,null,null
Rolls-Royce,CORNICHE,ROLLS-ROYCE CORNICHE Cabrio,Yellow,Cabriolet,Zuzwil,Hinterradantrieb,6,1987,19720.0,Km,car,"",null,null,null,null,null
Ferrari,F355,FERRARI F355 Berlinetta,Yellow,Coupé,Zuzwil,Hinterradantrieb,3,1998,28100.0,Km,car,"",null,null,null,null,null
BMW,M5,BMW M5,Yellow,Limousine,Zuzwil,Hinterradantrieb,4,2005,3000.0,Km,car,"",null,null,null,null,null
Daewoo,TACUMA,DAEWOO Tacuma 2000i CDX,Yellow,Kompaktvan / Minivan,Zuzwil,Vorderradantrieb,10,2003,103000.0,Km,car,"",null,null,null,null,null
Renault,Alpine A110,RENAULT Alpine A110 1600S Gruppe 5 look,Other,Coupé,Zuzwil,Hinterradantrieb,1,1971,19200.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo S Cabrio PDK,Yellow,Cabriolet,Zuzwil,Allrad,4,2011,28000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Targa,Yellow,Cabriolet,Zuzwil,Hinterradantrieb,11,1971,96000.0,Km,car,"",null,null,null,null,null
Maserati,3200 GT,MASERATI 3200 GT,Yellow,Coupé,Zuzwil,Hinterradantrieb,3,2000,64600.0,Km,car,"",null,null,null,null,null
Mercedes,S 400,MERCEDES-BENZ S 400 CDI,Yellow,Limousine,Zuzwil,Hinterradantrieb,4,2001,42000.0,Km,car,"",null,null,null,null,null
Ferrari,456,FERRARI 456M GT,Yellow,Coupé,Zuzwil,Hinterradantrieb,5,1999,49000.0,Km,car,"",null,null,null,null,null
Audi,S6,AUDI S6 quattro,Yellow,Limousine,Zuzwil,Allrad,8,2001,103100.0,Km,car,"",null,null,null,null,null
Mercedes,190,MERCEDES-BENZ 190 E 2.5-16 Evo II ABS,Yellow,Limousine,Zuzwil,Hinterradantrieb,7,1991,89700.0,Km,car,"",null,null,null,null,null
Mazda,626,MAZDA 626 2.0i-16V HPV,Yellow,Limousine,Zuzwil,Vorderradantrieb,8,2001,158000.0,Km,car,"",null,null,null,null,null
Toyota,CAMRY,TOYOTA CAMRY 2000 GLi Super Liftback,Yellow,Limousine,Safenwil,Vorderradantrieb,5,1985,58100.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo S,Yellow,SUV / Geländewagen,Zuzwil,Allrad,9,2006,91600.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,Other,SUV / Geländewagen,Zuzwil,Allrad,3,2003,121000.0,Km,car,"",null,null,null,null,null
Chrysler,VIPER,CHRYSLER Viper RT/10,Yellow,Cabriolet,Zuzwil,Hinterradantrieb,10,1993,28600.0,Km,car,"",null,null,null,null,null
Mercedes,S 320,MERCEDES-BENZ S 320,Yellow,Limousine,Zuzwil,Hinterradantrieb,4,1999,128000.0,Km,car,"",null,null,null,null,null
Toyota,MR2,TOYOTA MR2 2.0,Yellow,Coupé,Zuzwil,Hinterradantrieb,12,1990,135800.0,Km,car,"",null,null,null,null,null
Ferrari,TESTAR./512,FERRARI Testarossa,Yellow,Coupé,Zuzwil,Hinterradantrieb,1,1989,31700.0,Km,car,"",null,null,null,null,null
Chevrolet,CORVETTE,CHEVROLET Corvette ZR1,Gold,Coupé,Zuzwil,Hinterradantrieb,2,2010,13000.0,Km,car,"",null,null,null,null,null
BMW,M3,BMW M3,Gold,Cabriolet,Zuzwil,Hinterradantrieb,7,2008,78900.0,Km,car,"",null,null,null,null,null
Ruf,"",RUF CTR,Gold,Coupé,Zuzwil,null,1,1990,46000.0,Km,car,"",null,null,null,null,null
Renault,R5,RENAULT R5 Turbo 2,Gold,Kleinwagen,Zuzwil,Hinterradantrieb,5,1985,59900.0,Km,car,"",null,null,null,null,null
Daimler,XJ,DAIMLER Six 4.0,Gold,Limousine,Zuzwil,Hinterradantrieb,1,1996,94800.0,Km,car,"",null,null,null,null,null
Mazda,RX-7,MAZDA RX-7 2.6 Turbo II,Gray,Cabriolet,Zuzwil,Hinterradantrieb,8,1989,67200.0,Km,car,"",null,null,null,null,null
Bugatti,"",BUGATTI Veyron 16.4,Other,Coupé,Sursee,Allrad,7,2008,20000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Gray,Coupé,Zuzwil,Allrad,10,2001,25900.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera Cabrio,Gray,Cabriolet,Zuzwil,Hinterradantrieb,6,2005,20400.0,Km,car,"",null,null,null,null,null
Mercedes,S 500,MERCEDES-BENZ S 500 L 4Matic,Gray,Limousine,Zuzwil,Allrad,12,2002,54500.0,Km,car,"",null,null,null,null,null
Bugatti,EB,BUGATTI EB 110 GT/SS,Gray,Coupé,Zuzwil,Allrad,8,1998,4000.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Gray,Kombi,Zuzwil,Allrad,10,2008,41900.0,Km,car,"",null,null,null,null,null
Ferrari,575M,FERRARI 575M,Gray,Coupé,Zuzwil,Hinterradantrieb,12,2003,8100.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Gray,Kombi,Zuzwil,Allrad,1,2003,39000.0,Km,car,"",null,null,null,null,null
Jaguar,S-TYPE,JAGUAR S-Type 4.2 V8 S/C R,Gray,Limousine,Zuzwil,Hinterradantrieb,7,2002,32900.0,Km,car,"",null,null,null,null,null
Maserati,SPYDER GT,MASERATI Spyder GT,Gray,Cabriolet,Zuzwil,Hinterradantrieb,5,2002,63000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera Targa,Gray,Cabriolet,Zuzwil,Hinterradantrieb,5,2002,61800.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,Other,Kombi,Zuzwil,Allrad,6,2008,32800.0,Km,car,"",null,null,null,null,null
Ferrari,F355,FERRARI F355 GTS,Gray,Cabriolet,Zuzwil,Hinterradantrieb,10,1997,41000.0,Km,car,"",null,null,null,null,null
Maserati,QUATTROPORTE,MASERATI Quattroporte 4.2,Gray,Limousine,Zuzwil,Hinterradantrieb,6,2006,46050.0,Km,car,"",null,null,null,null,null
Mercedes,E 320,MERCEDES-BENZ E 320 Elégance 4-Matic,Gray,Limousine,Zuzwil,Allrad,3,2000,83900.0,Km,car,"",null,null,null,null,null
Jaguar,XK,JAGUAR XK8 Convertible,Gray,Cabriolet,Zuzwil,Hinterradantrieb,7,1998,99800.0,Km,car,"",null,null,null,null,null
Chevrolet,CORVETTE,CHEVROLET CORVETTE,Gray,Coupé,Zuzwil,Hinterradantrieb,1,1981,27700.0,Km,car,"",null,null,null,null,null
Maserati,SPYDER GT,MASERATI Spyder GT,Gray,Cabriolet,Zuzwil,Hinterradantrieb,6,2002,88500.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Spider,Gray,Cabriolet,Zuzwil,Hinterradantrieb,9,2002,16600.0,Km,car,"",null,null,null,null,null
Renault,R5,RENAULT R5 1400 Alpine Turbo,Gray,Kleinwagen,Zuzwil,Vorderradantrieb,7,1982,124500.0,Km,car,"",null,null,null,null,null
Ferrari,575M,FERRARI 575M,Gray,Coupé,Zuzwil,Hinterradantrieb,12,2006,15900.0,Km,car,"",null,null,null,null,null
Lancio,DELTA,LANCIA Delta HF Integrale Evo,Gray,Limousine,Zuzwil,Allrad,2,1992,155000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Other,Cabriolet,Zuzwil,Hinterradantrieb,7,1994,48700.0,Km,car,"",null,null,null,null,null
Bentley,ARNAGE,BENTLEY Arnage R,Gray,Limousine,Zuzwil,Hinterradantrieb,4,2005,145000.0,Km,car,"",null,null,null,null,null
Mercedes,CL 500,MERCEDES-BENZ CL 500,Gray,Coupé,Zuzwil,Hinterradantrieb,1,2005,165.0,Km,car,"",null,null,null,null,null
Mercedes,E 55 AMG,MERCEDES-BENZ E 55 AMG Avantgarde,Gray,Limousine,Zuzwil,Hinterradantrieb,3,1998,47400.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,Gray,SUV / Geländewagen,Zuzwil,Allrad,6,2003,68700.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,Gray,SUV / Geländewagen,Zuzwil,Allrad,8,2008,28000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 600,MERCEDES-BENZ SL 600,Gray,Cabriolet,Zuzwil,Hinterradantrieb,3,2004,20000.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro MTM,Gray,Kombi,Zuzwil,Allrad,9,2008,24600.0,Km,car,"",null,null,null,null,null
Austin-Healey,"",AUSTIN-HEALEY 100/Six BN6 Roadster,Gray,Cabriolet,Safenwil,Hinterradantrieb,1,1959,16900.0,Km,car,"",null,null,null,null,null
Ruf,"",RUF CTR 2 Sport,Gray,Coupé,Zuzwil,Allrad,10,1997,20900.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Gray,Coupé,Zuzwil,Allrad,6,2002,52900.0,Km,car,"",null,null,null,null,null
Bentley,TURBO,BENTLEY Turbo R,Other,Limousine,Zuzwil,Hinterradantrieb,4,1990,112500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera S Cabrio,Gray,Cabriolet,Zuzwil,Hinterradantrieb,3,2006,29500.0,Km,car,"",null,null,null,null,null
BMW,535,BMW 535i Touring,Gray,Kombi,Zuzwil,Hinterradantrieb,7,2011,76500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,Gray,Coupé,Zuzwil,Allrad,9,2003,63300.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,Gray,SUV / Geländewagen,Zuzwil,Allrad,9,2004,31000.0,Km,car,"",null,null,null,null,null
