make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
Porsche,911,PORSCHE 911 GT3,Silver,Coupé,Zuzwil,Hinterradantrieb,1,2000,77000.0,Km,car,"",null,null,null,null,null
Mercedes,E 420,MERCEDES-BENZ E 420 Avantgarde,Silver,Limousine,Zuzwil,Hinterradantrieb,11,1996,87800.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 4 S,Silver,Coupé,Zuzwil,Allrad,3,2002,68100.0,Km,car,"",null,null,null,null,null
Aston Martin,DB9,ASTON MARTIN DB9 Volante,Silver,Cabriolet,Zuzwil,Hinterradantrieb,5,2013,17000.0,Km,car,"",null,null,null,null,null
Triumph,Dolomite,TRIUMPH Dolomite Sprint,Silver,Limousine,Zuzwil,Hinterradantrieb,7,1977,12800.0,Km,car,"",null,null,null,null,null
Mercedes,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,Zuzwil,Hinterradantrieb,6,1996,74400.0,Km,car,"",null,null,null,null,null
BMW,M6,BMW M6,Silver,Cabriolet,Zuzwil,Hinterradantrieb,2,2007,32000.0,Km,car,"",null,null,null,null,null
Audi,RS4,AUDI RS4 Avant quattro,Blue,Kombi,Zuzwil,Allrad,7,2001,57500.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 GT2,Silver,Coupé,Zuzwil,Hinterradantrieb,11,2001,49900.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT Alpine A310 V6,Silver,Coupé,Zuzwil,Hinterradantrieb,3,1983,69000.0,Km,car,"",null,null,null,null,null
Toyota,CELICA,TOYOTA CELICA 1600 GT DOHC,Silver,Coupé,Zuzwil,Hinterradantrieb,10,1981,79300.0,Km,car,"",null,null,null,null,null
VW,PHAETON,VW Phaeton 6.0 W12 4Motion,Silver,Limousine,Zuzwil,Allrad,11,2002,31300.0,Km,car,"",null,null,null,null,null
Ferrari,F430,FERRARI F430 Scuderia,Silver,Coupé,Zuzwil,Hinterradantrieb,3,2008,19999.0,Km,car,"",null,null,null,null,null
Mercedes,190,MERCEDES-BENZ 190 E 2.5-16 ABS,Silver,Limousine,Zuzwil,Hinterradantrieb,4,1992,152000.0,Km,car,"",null,null,null,null,null
